category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
COMPARTMENTS	GOCC:0042101	4	15	9606	ZAP70,CD3D,CD3E,CD247	ZAP70,CD3D,CD3E,CD247	2.03e-10	4.66e-07	T cell receptor complex
COMPARTMENTS	GOCC:0042105	3	6	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	1.08e-08	1.25e-05	Alpha-beta T cell receptor complex
COMPARTMENTS	GOCC:0098797	7	682	9606	CBL,ZAP70,CD3D,CD3E,CD247,SHC1,LCK	CBL,ZAP70,CD3D,CD3E,CD247,SHC1,LCK	1.81e-08	1.39e-05	Plasma membrane protein complex
COMPARTMENTS	GOCC:0098802	5	255	9606	ZAP70,CD3D,CD3E,CD247,LCK	ZAP70,CD3D,CD3E,CD247,LCK	1.66e-07	9.57e-05	Plasma membrane signaling receptor complex
COMPARTMENTS	GOCC:0005886	10	3535	9606	LCP2,TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,LCK	LCP2,TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,LCK	3.23e-07	0.00015	Plasma membrane
COMPARTMENTS	GOCC:0001772	3	36	9606	ZAP70,LAT,LCK	ZAP70,LAT,LCK	1.17e-06	0.00038	Immunological synapse
COMPARTMENTS	GOCC:0036398	2	3	9606	LCP2,ZAP70	LCP2,ZAP70	2.83e-06	0.00054	TCR signalosome
COMPARTMENTS	GOCC:0045121	4	181	9606	LCP2,CBL,LAT,LCK	LCP2,CBL,LAT,LCK	2.36e-06	0.00054	Membrane raft
COMPARTMENTS	GOCC:0042106	2	6	9606	CD3E,CD247	CD3E,CD247	7.91e-06	0.0014	Gamma-delta T cell receptor complex
COMPARTMENTS	GOCC:0032991	9	5325	9606	LCP2,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,LCK	LCP2,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,LCK	0.00024	0.0375	Protein-containing complex
Process	GO:0045321	10	574	9606	LCP2,TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,VAV1,LCK	LCP2,TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,VAV1,LCK	5.18e-15	8.12e-11	Leukocyte activation
